1	WeakeningEffect	True	False	Clear Conscience	Decreases Power and Attack to $H_W_BAD$value$COLOR_END.	Icon_Skills.voidtrap_Tex
2	Buff	True	False	Promo BAM Buff	Increases your awesomeness when beating down Big-Ass Monsters.	Icon_Skills.voidtrap_Tex
3	Buff	True	False	TEST_NoNaturalMPRegeneration	No natural MP regeneration! For 30 minutes! BTS needed if this message is displayed.	Icon_Skills.voidtrap_Tex
4	Buff	True	False	Stun Bomb	Stun effect	Icon_Skills.voidtrap_Tex
5	WeakeningEffect	True	False	Non-Effect Debuff	Non-effect debuff	Icon_Skills.voidtrap_Tex
6	WeakeningEffect	True	False	Damage Absolute Invincibility	Damage absolute invincibility	Icon_Skills.voidtrap_Tex
7	WeakeningEffect	True	False	Damage Half Invincibility	Damage half invincibility	Icon_Skills.voidtrap_Tex
8	WeakeningEffect	True	False	Debuff Absolute Invincibility	Debuff absolute invincibility	Icon_Skills.voidtrap_Tex
9	WeakeningEffect	True	False	Debuff Half Invincibility	Debuff half invincibility	Icon_Skills.voidtrap_Tex
10	WeakeningEffect	True	False	Reaction Absolute Invincibility	Reaction absolute invincibility	Icon_Skills.voidtrap_Tex
11	WeakeningEffect	True	False	Stone	Stone	Icon_Skills.voidtrap_Tex
12	WeakeningEffect	True	False	Vortex	Vortex	Icon_Skills.voidtrap_Tex
13	WeakeningEffect	True	False	Unchained Goddess	Unchained goddess	Icon_Skills.voidtrap_Tex
15	Buff	True	False	Blessing of Zenobia	Increases non-combat Movement Speed by $H_W_GOOD$value$COLOR_END.	Icon_Skills.fastwalk_Tex
21	Buff	True	False	Chasing and Hunting_Reaction_Resistance Test	Increases the chance of reaction resistance 10 times.	Icon_Skills.voidtrap_Tex
22	Buff	True	False	Test_Increased Skill Damage	Test only: Increases all skill damage by 40%!	Icon_Skills.voidtrap_Tex
23	Buff	True	False	Automatic Critical Hits	All your attacks are critical hits.$BRTest Only	
24	Buff	True	False	Grant Automatic Critical Hits	Grant automatic critical hits to enemy.$BRTest Only	
25	Buff	True	True	T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	Icon_Status.pluswill_Tex
26	Buff	True	True	Ultra-Hyper-Fire-Turbo Time	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	Icon_Status.pluswill_Tex
27	Buff	True	True	T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	Icon_Status.pluswill_Tex
28	Buff	True	False	T.E.R.A. TIME	Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	Icon_Status.pluswill_Tex
29	Buff	False	False			
30	Buff	True	True	Blessing of Amarun	Increases maximum HP for the first venture into the dungeon.	Icon_Skills.Heart_buff_Tex
31	Buff	True	False	T.E.R.A. TIME Season 2	Engage in spectacular battles! Increases Power by 20%, and significantly increases Attack Speed.	Icon_Status.buff_of_kaia_Tex
32	Buff	False	False			
35	Buff	False	False			
36	Buff	True	True	4th Anniversary Buff(Increase Attack Power)	Engage in spectacular battles! When attacking, damage increases by 20% and attack speed greatly increases as well.	Icon_Status.buff_of_kaia_Tex
37	Buff	True	True	4th Anniversary Buff(Decreased Cooldown)	Feel the fever! All skill cooldowns except for alliance skills decrease by 80%, and all MP regeneration increases immensely.	Icon_Status.pluswill_Tex
38	Buff	False	False			
39	Buff	True	True	The Call of War	Increases skill damage, Attack Speed and HP recovery by 2%.	Icon_Status.plusecritical_Tex
40	Buff	True	True	Balder's Blessing	Increases your gathering proficiencies by 30 and shortens your gathering and crafting times.	Icon_Items.ArtisanAll_Up_Tex
41	Buff	True	False	Baharr's Blessing I	Slightly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	Icon_Items.parts_heavyarmorC5_Tex
42	Buff	True	False	Baharr's Blessing II	Increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	Icon_Items.parts_heavyarmorC5_Tex
43	Buff	True	False	Baharr's Blessing III	Significantly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	Icon_Items.parts_heavyarmorC5_Tex
44	Buff	True	False	Baharr's Blessing I	Slightly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	Icon_Items.parts_heavyarmorC5_Tex
45	Buff	True	False	Baharr's Blessing II	Increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	Icon_Items.parts_heavyarmorC5_Tex
46	Buff	True	False	Baharr's Blessing III	Significantly increases enchantment success rate. (Does not apply to Awakened enchanting, or enchanting using a bind-on-pickup item with the same name.)	Icon_Items.parts_heavyarmorC5_Tex
47	Buff	True	False	Test_Skill Damage Increase/Aggro Reduction	Test Only! Increases all skill damage by 50%. Decreases Aggro  by 50%	Icon_Skills.voidtrap_Tex
101	Buff	True	False	Retaliate	Immune to knockdown, stagger, and stuns.	Icon_Skills.risingattack_Tex
201	Buff	False	False	Blessing of Shakan I	Increases Power by $H_W_GOOD$value$COLOR_END.	Icon_Skills.attackup_Tex
