21000	Roulade	20100	icon_skills.tumbling_tex	Roulade rapide	icon_crest.e_crestactiveattackspeedup_tex	30% de chances d'augmenter la vitesse d'attaque de 15 % pendant 10 secondes.
21001	Réaction	130100	icon_skills.risingattack_tex	Réaction énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21002	La mort venue des cieux	100100	icon_skills.evasionattack_tex	La mort venue des cieux énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 30%.
21003	Mutilation	140100	icon_skills.aimingankle_tex	Test	icon_skills.voidtrap_tex	Sans effet
21004	Attaque combinée	10100	icon_skills.comboattack_tex	Attaque combinée menaçante	icon_crest.e_crestpassiveaggroup_tex	Augmente le taux d'agression de 5%.
21005	Déluge de coups	30100	icon_skills.nanmu_tex	Déluge de coups menaçant	icon_crest.e_crestpassiveaggroup_tex	Augmente le taux d'agression de 20%.
21006	Pluie de coups	40100	icon_skills.pointattack_tex	Pluie de coups puissante	icon_crest.e_crestpassiveattackup_tex	Les dégâts de la compétence augmentent de 25%.
21007	Frappe bondissante	120100	icon_skills.downblowattack_tex	Frappe bondissante puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21008	Lame empoisonnée	110100	icon_skills.poisonblowattack_tex	Lame empoisonnée virulente	icon_crest.e_crestpassiveskilleffectup_tex	Augmente les dégâts d'empoisonnement de 15%.
21009	Position défensive	90100	icon_skills.ironwillb_tex	Position défensive fondée	icon_crest.e_crestpassiveskilleffectup_tex	Augmente la constitution de 10%.
21010	Réaction	130100	icon_skills.risingattack_tex	Réaction puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21011	Déluge de coups	30100	icon_skills.nanmu_tex	Déluge de coups d'influence	icon_crest.e_crestnextskillmpdown_tex	Réduit le coût en PM de Pluie de coups de 88.
21012	Réaction	130100	icon_skills.risingattack_tex	Réaction d'influence	icon_crest.e_crestnextskillmpdown_tex	Réduit le coût en PM de Frappe bondissante de 75 pendant quelques secondes.
21013	Attaque combinée	10100	icon_skills.comboattack_tex	Attaque combinée spirituelle	icon_crest.e_crestpassivemprecoveryup_tex	Augmente la régénération de PM de 35%.
21014	La mort venue des cieux	100100	icon_skills.evasionattack_tex	Mort venue des cieux rapide	icon_crest.e_crestactiveattackspeedup_tex	50% de chances d'augmenter la vitesse d'attaque de 15 % pendant 10 secondes.
21015	Roulade	20100	icon_skills.tumbling_tex	Roulade infinie	icon_crest.e_crestactivecooltimereset_tex	Diminue de 100 le coût en détermination.
21016	Cri de bataille	50100	icon_skills.thunderingroar_tex	Cri de bataille énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21017	Pluie de coups	40100	icon_skills.pointattack_tex	Pluie de coups de restauration	icon_crest.e_crestpassivehpheal_tex	Restaure immédiatement 0.5% PV.
21018	Frappe combattive	180100	icon_skills.aggravatingstrike_tex	Frappe combattive guérisseuse	icon_crest.e_crestpassivehpdown_tex	Réduit la consommation de PV de 50%.
21019	Entaille Vortex	170100	icon_skills.allroundslash_tex	Entaille vortex puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21020	Charge taillade	160100	icon_skills.rushingslash_tex	Charge taillade énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 25%.
21021	Position offensive	80100	icon_skills.ironwilla_tex	Test	icon_skills.voidtrap_tex	Sans effet
21022	Fureur montante	190100	icon_skills.tenaciousattack_tex	Fureur montante tenace	icon_crest.e_crestactivecooltimereset_tex	25% de chances de supprimer le temps de recharge.
21023	Agression enfumée	240100	icon_skills.decoy_tex	Agression enfumée énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21024	Attaque sournoise	220100	icon_skills.backattack_tex	Attaque sournoise de lacération	icon_crest.e_crestpassivedurationup_tex	Augmente la durée des effets de 50%.
21025	Pari mortel	200100	icon_skills.deadlywill_tex	Pari mortel énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 25%.
21026	Contre-attaque étourdissante	230100	icon_skills.reversalturningattack_tex	Contre-attaque étourdissante puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21027	Cascade d'étourdissements			Cascade d'étourdissements brillante	icon_crest.e_crestpassivempdown_tex	Réduit le coût en PM de 88.
21028	Frappe combattive	180100	icon_skills.aggravatingstrike_tex	Frappe combattive alimentée	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Fureur montante de 20 % pendant quelques secondes.
21029	Charge taillade	160100	icon_skills.rushingslash_tex	Charge taillade d'influence	icon_crest.e_crestnextskillmpdown_tex	Réduit le coût en PM de Lame empoisonnée de 50 pendant quelques secondes.
21030	Cascade d'étourdissements			Étourdissements en cascade d'influence	icon_crest.e_crestnextskillmpdown_tex	Réduit le coût en PM de Pluie de coups de 88 pendant quelques secondes.
21031	Étourdissements en cascade			Étourdissements en cascade alimentés	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Pluie de coups de 20 % pendant quelques secondes.
21032	Étourdissements en cascade			Étourdissements en cascade énergétiques	icon_crest.e_crestactivecooltimereset_tex	Réduit le temps de recharge de 25%.
21033	Fureur montante	190100	icon_skills.tenaciousattack_tex	Fureur montante d'hébétude	icon_crest.e_crestactiveattackspeeddown_tex	10% de chances de réduire la vitesse d'attaque de l'adversaire de 15 % pendant 7 secondes.
21034	Déluge de coups	30100	icon_skills.nanmu_tex	Déluge de coups de lien	icon_crest.e_crestactivespeeddown_tex	25% de chances d'immobiliser la cible pendant 4 secondes.
21035	Charge taillade	160100	icon_skills.rushingslash_tex	Charge taillade alimentée	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Frappe combattive de 20 % pendant quelques secondes.
21036	Attaque sournoise	220100	icon_skills.backattack_tex	Attaque sournoise énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 25%.
21037	Contre-attaque étourdissante	230100	icon_skills.reversalturningattack_tex	Contre-attaque étourdissante persistante	icon_crest.e_crestpassivedurationup_tex	Augmente la durée des effets de 50%.
21038	Contre-attaque étourdissante	230100	icon_skills.reversalturningattack_tex	Contre-attaque étourdissante énergétique	icon_crest.e_crestactivecooltimereset_tex	Réduit le temps de recharge de 20%.
21039	Attaque combinée	10100	icon_skills.comboattack_tex	Attaque combinée de sape	icon_crest.e_crestactivestun_tex	5% de chances d'assommer la cible pendant 2 secondes.
21040	Cri de bataille	50100	icon_skills.thunderingroar_tex	Cri de bataille hâtif	icon_crest.e_crestpassiveskillspeedup_tex	Augmente la vitesse d'incantation de 50%.
21041	Cri de bataille	50100	icon_skills.thunderingroar_tex	Cri de bataille de chance	icon_crest.e_crestpassivethorns_tex	Augmente les chances de faire effet de 10%.
21042	Cri de bataille	50100	icon_skills.thunderingroar_tex	Cri de bataille menaçant	icon_crest.e_crestpassiveaggroup_tex	Augmente le taux d'agressivité de 100%.
21043	Frappe combattive	180100	icon_skills.aggravatingstrike_tex	Frappe combattive persistante	icon_crest.e_crestpassivedurationup_tex	Augmente la durée des effets de 50%.
21044	Frappe combattive	180100	icon_skills.aggravatingstrike_tex	Frappe combattive alimentée	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Frappe bondissante de 20 % pendant quelques secondes.
21045	Entaille Vortex	170100	icon_skills.allroundslash_tex	Entaille vortex tenace	icon_crest.e_crestactivecooltimereset_tex	30% de chances de supprimer le temps de recharge.
21046	Roulade	20100	icon_skills.tumbling_tex	Roulade de restauration	icon_crest.e_crestnextskillhpheal_tex	Restaure immédiatement 3 % du total des PV lorsque vous portez un coup avec Lame empoisonnée.
21047	La mort venue des cieux	100100	icon_skills.evasionattack_tex	Test	icon_skills.voidtrap_tex	Sans effet
21048	Bond	270100	icon_skills.heavybite_tex	Bond rapide	icon_crest.e_crestactiveattackspeedup_tex	Augmente la vitesse d'attaque du Bond de 30%.
21049	Bond	270100	icon_skills.heavybite_tex	Bond énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21050	Coupe latérale	280100	icon_skills.dualrapidpiercing_tex	Coupe latérale persistant	icon_crest.e_crestpassivedurationup_tex	Augmente la durée des effets de 50%.
21051	Coupe latérale	280100	icon_skills.dualrapidpiercing_tex	Coupe latérale brillant	icon_crest.e_crestpassivempdown_tex	Réduit le coût en PM de 75.
21052	En garde	290100	icon_skills.dualslash_tex	En garde puissant	icon_crest.e_crestpassiveattackup_tex	Les dégâts de la compétence augmentent de 25%.
21053	En garde	290100	icon_skills.dualslash_tex	En garde brillant	icon_crest.e_crestpassivempdown_tex	Réduit le coût en PM de 80.
21054	En garde	290100	icon_skills.dualslash_tex	En garde tenace	icon_crest.e_crestactivecooltimereset_tex	50% de chances de supprimer le temps de recharge.
21064	Pluie de coups	40100	icon_skills.pointattack_tex	Pluie de coups puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts des compétences de 25%.
21065	La mort venue des cieux	100100	icon_skills.evasionattack_tex	La mort venue des cieux énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 30%.
21066	Pluie de coups	40100	icon_skills.pointattack_tex	Pluie de coups de restauration	icon_crest.e_crestpassivehpheal_tex	Restaure immédiatement 0.5% PV.
21067	Roulade	20100	icon_skills.tumbling_tex	Roulade infinie	icon_crest.e_crestactivecooltimereset_tex	Diminue de 100 le coût en détermination.
21068	Position défensive	90100	icon_skills.ironwillb_tex	Position défensive fondée	icon_crest.e_crestpassiveskilleffectup_tex	Augmente la constitution de 10%.
21069	Frappe combattive	180100	icon_skills.aggravatingstrike_tex	Frappe combattive guérisseuse	icon_crest.e_crestpassivehpdown_tex	Réduit la consommation de PV de 50%.
21070	Attaque combinée	10100	icon_skills.comboattack_tex	Attaque combinée spirituelle	icon_crest.e_crestpassivemprecoveryup_tex	Augmente la régénération de PM de 35%.
21071	Agression enfumée	240100	icon_skills.decoy_tex	Agression enfumée énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 25%.
21072	Frappe combattive	180100	icon_skills.aggravatingstrike_tex	Frappe combattive alimentée	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Frappe bondissante de 45 % pendant quelques secondes.
21073	Charge taillade	160100	icon_skills.rushingslash_tex	Charge taillade alimentée	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Frappe combattive de 50 % pendant quelques secondes.
21074	La mort venue des cieux	100100	icon_skills.evasionattack_tex	La mort venue des cieux fondée	icon_crest.e_crestactivedefenceup_tex	Augmente la constitution de 25 pendant 8 secondes.
21075	Attaque sournoise	220100	icon_skills.backattack_tex	Attaque sournoise avantageuse	icon_crest.e_crestactiveattackspeedup_tex	Augmente la régénération de fureur de 1.
21076	Cascade d'étourdissements			Étourdissements en cascade puissants	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21077	Cascade d'étourdissements			Étourdissements en cascade persistants	icon_crest.e_crestpassivedurationup_tex	Augmente la durée des effets de 25%.
21078	Contre-attaque étourdissante	230100	icon_skills.reversalturningattack_tex	Contre-attaque étourdissante alimentée	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Cascade d'étourdissements de 10 % pendant quelques secondes.
21079	Faux	300100	icon_skills.raker_tex	Faux de gravure	icon_crest.e_crestpassivecriticalup_tex	Double les chances de porter un coup critique
21080	Faux	300100	icon_skills.raker_tex	Faux puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la fureur de 25 %.
21081	Attaque sournoise	220100	icon_skills.backattack_tex	Attaque sournoise persistante	icon_crest.e_crestpassivedurationup_tex	Augmente la durée des effets de 50%.
21082	Bond	270100	icon_skills.heavybite_tex	Bond rapide	icon_crest.e_crestactiveattackspeedup_tex	Augmente la vitesse d'attaque du Bond de 30%.
21083	Lame empoisonnée	110100	icon_skills.poisonblowattack_tex	Lame empoisonnée cumulable	icon_crest.e_crestactiveattackspeedup_tex	Cumule les dégâts de Lame empoisonnée jusqu'à 2 fois.
21084	En garde	290100	icon_skills.dualslash_tex	En garde avantageuse	icon_crest.e_crestactiveattackspeedup_tex	Augmente la régénération de fureur de 1 par coup.
21085	Taillade faucheuse	310100	icon_skills.rupture_tex	Taillade faucheuse puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts des compétences de 25%.
21086	Parade croisée	320100	icon_skills.twinswordsdefence_tex	Parade croisée renforcée	icon_crest.e_crestactiveattackup_tex	30% de chances d'augmenter la puissance de 15 % pendant 10 secondes en cas de blocage réussi.
21087	Ailier ombreux	330100	icon_skills.shadowchange_tex	Ailier ombreux menaçant	icon_crest.e_crestpassiveaggroup_tex	Augmente le taux d'agression de 20%.
21088	Epée captivante	340100	icon_skills.bindingblade_tex	Épée captivante puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 20%.
21089	Epée captivante	340100	icon_skills.bindingblade_tex	Épée captivante puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 20%.
21090	Epée captivante	340100	icon_skills.bindingblade_tex	Epée captivante énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21091	Pari mortel	200100	icon_skills.deadlywill_tex	Pari mortel persistant	icon_crest.e_crestpassivedurationup_tex	Augmente la durée des effets de 20%.
21092	Epée captivante	340100	icon_skills.bindingblade_tex	Epée captivante énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21093	Exaspération	350100	icon_skills.provokerage_tex	Exaspération ralentissante	icon_crest.e_crestpassivespeeddown_tex	Réduit la vitesse de déplacement de l'adversaire de 50 % pendant 5 secondes.
21094	Exaspération	350100	icon_skills.provokerage_tex	Exaspération énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 20%.
21095	Roulade	20100	icon_skills.tumbling_tex	Roulade rapide	icon_crest.e_crestactiveattackspeedup_tex	40% de chances d'augmenter la vitesse d'attaque de 15 % pendant 10 secondes.
21096	Déluge de coups	30100	icon_skills.nanmu_tex	Déluge de coups brutaux	icon_crest.e_crestpassiveaggroup_tex	Augmente le taux d'agression de 40%.
21097	Entaille Vortex	170100	icon_skills.allroundslash_tex	Entaille vortex puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la compétence de 25%.
21098	Étourdissements en cascade			Étourdissements en cascade alimentés	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Pluie de coups de 20 % pendant quelques secondes.
21099	Fureur montante	190100	icon_skills.tenaciousattack_tex	Fureur montante d'hébétude	icon_crest.e_crestactiveattackspeeddown_tex	20% de chances de réduire la vitesse d'attaque d'un adversaire de 15 % pendant 7 secondes.
21100	Attaque sournoise	220100	icon_skills.backattack_tex	Attaque sournoise énergétique	icon_crest.e_crestpassivecooltimedown_tex	Réduit le temps de recharge de 25%.
21101	Roulade	20100	icon_skills.tumbling_tex	Roulade énergétique	icon_crest.e_crestactivecooltimereset_tex	Réduit le coût en détermination de 120.
21102	Position défensive	90100	icon_skills.ironwillb_tex	Position défensive fondée	icon_crest.e_crestpassiveskilleffectup_tex	Augmente la constitution de 10%.
21103	Charge taillade	160100	icon_skills.rushingslash_tex	Charge taillade alimentée	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Frappe combattive de 50 % pendant quelques secondes.
21104	Faux	300100	icon_skills.raker_tex	Faux de gravure	icon_crest.e_crestpassivecriticalup_tex	Double les chances d'infliger un coup critique.
21105	Faux	300100	icon_skills.raker_tex	Faux puissante	icon_crest.e_crestpassiveattackup_tex	Augmente les dégâts de la Fureur de 30 %.
21106	Pari mortel	200100	icon_skills.deadlywill_tex	Pari mortel persistant	icon_crest.e_crestpassivedurationup_tex	Augmente la durée de l'effet de 20%.
21107	En garde	290100	icon_skills.dualslash_tex	En garde de gravure	icon_crest.e_crestpassivecriticalup_tex	Double les chances de coups critiques en attaquant des monstres.
22000	Inébranlable	20100	icon_skills.defence_tex	Inébranlable renforcé	icon_crest.e_crestactiveattackup_tex	30% de chances d'augmenter la puissance de 15 % pendant 10 secondes en cas de blocage réussi.
22001	Inébranlable	20100	icon_skills.defence_tex	Inébranlable alimenté	icon_crest.e_crestnextskillattackup_tex	Augmente les dégâts de Poussée du bouclier de 25 % pendant quelques secondes.
22002	Inébranlable	20100	icon_skills.defence_tex	Inébranlable d'influence	icon_crest.e_crestnextskillmpdown_tex	Réduit le coût en PM de Poussée du bouclier de 115 pendant quelques secondes.
22003	Attaque combinée	10100	icon_skills.comboattack_tex	Attaque combinée menaçante	icon_crest.e_crestpassiveaggroup_tex	Augmente le taux d'agression de 5%.
