21000	回避	20100	icon_skills.tumbling_tex	迅速の紋章	icon_crest.e_crestactiveattackspeedup_tex	30%の確率で攻撃速度が15％上昇（10秒間持続）
21001	反撃	130100	icon_skills.risingattack_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
21002	エバジョンアタック	100100	icon_skills.evasionattack_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを30%短縮
21003	アンクルスラッシュ	140100	icon_skills.aimingankle_tex	テスト	icon_skills.voidtrap_tex	効果無し
21004	連撃	10100	icon_skills.comboattack_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が5%追加上昇
21005	トレントブロー	30100	icon_skills.nanmu_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が20%追加上昇
21006	ランブロー	40100	icon_skills.pointattack_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21007	跳躍斬り	120100	icon_skills.downblowattack_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21008	ポイズンストライク	110100	icon_skills.poisonblowattack_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	猛毒による持続ダメージが15%増加
21009	ディフェンススタンス	90100	icon_skills.ironwillb_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	耐久力がさらに10%上昇
21010	反撃	130100	icon_skills.risingattack_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21011	トレントブロー	30100	icon_skills.nanmu_tex	連精の紋章	icon_crest.e_crestnextskillmpdown_tex	連係して「ランブロー」使用時、消費MPが88減少
21012	反撃	130100	icon_skills.risingattack_tex	連精の紋章	icon_crest.e_crestnextskillmpdown_tex	連係して「跳躍斬り」使用時、消費MPが75減少
21013	連撃	10100	icon_skills.comboattack_tex	精神の紋章	icon_crest.e_crestpassivemprecoveryup_tex	命中時のMP回復量が35%増加
21014	エバジョンアタック	100100	icon_skills.evasionattack_tex	迅速の紋章	icon_crest.e_crestactiveattackspeedup_tex	50%の確率で攻撃速度が15％上昇（10秒間持続）
21015	回避	20100	icon_skills.tumbling_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	消費STが100減少
21016	バトルクライ	50100	icon_skills.thunderingroar_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
21017	ランブロー	40100	icon_skills.pointattack_tex	忍耐の紋章	icon_crest.e_crestpassivehpheal_tex	打撃成功時、全HPの0.5%が即時に回復
21018	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	忍耐の紋章	icon_crest.e_crestpassivehpdown_tex	消費HPが50%減少
21019	ウィンドスラッシュ	170100	icon_skills.allroundslash_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21020	ダッシュスラッシュ	160100	icon_skills.rushingslash_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
21021	アサルトスタンス			テスト	icon_skills.voidtrap_tex	効果無し
21022	スピリットコンボ	190100	icon_skills.tenaciousattack_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	25%の確率でクールタイムが初期化
21023	シャドウツイン	240100	icon_skills.decoy_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
21024	回り込み	220100	icon_skills.backattack_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
21025	デッドリーウィル	200100	icon_skills.deadlywill_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
21026	反撃反り			闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21027	ストロングスラッシュ	210100	icon_skills.hardslash_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが88減少
21028	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「スピリットコンボ」使用時、スキル威力が20％増加
21029	ダッシュスラッシュ	160100	icon_skills.rushingslash_tex	連精の紋章	icon_crest.e_crestnextskillmpdown_tex	連係して「ポイズンストライク」使用時、消費MPが50減少
21030	ストロングスラッシュ	210100	icon_skills.hardslash_tex	連精の紋章	icon_crest.e_crestnextskillmpdown_tex	連係して「ランブロー」使用時、消費MPが88減少
21031	ストロングスラッシュ	210100	icon_skills.hardslash_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「ランブロー」使用時、スキル威力が20％増加
21032	ストロングスラッシュ	210100	icon_skills.hardslash_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	クールタイムを25%短縮
21033	スピリットコンボ	190100	icon_skills.tenaciousattack_tex	減速の紋章	icon_crest.e_crestactiveattackspeeddown_tex	10%の確率で攻撃速度を15％減少（7秒間持続）
21034	トレントブロー	30100	icon_skills.nanmu_tex	怠惰の紋章	icon_crest.e_crestactivespeeddown_tex	25%の確率で対象に移動不可効果を発生（4秒間持続）
21035	ダッシュスラッシュ	160100	icon_skills.rushingslash_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「コンバットストライク」使用時、スキル威力が20％増加
21036	回り込み	220100	icon_skills.backattack_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
21037	カウンターストライク	230100	icon_skills.reversalturningattack_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
21038	カウンターストライク	230100	icon_skills.reversalturningattack_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	クールタイムを20%短縮
21039	連撃	10100	icon_skills.comboattack_tex	気絶の紋章	icon_crest.e_crestactivestun_tex	5%の確率で対象に気絶効果を発生（2秒間持続）
21040	バトルクライ	50100	icon_skills.thunderingroar_tex	迅速の紋章	icon_crest.e_crestpassiveskillspeedup_tex	発動速度が50%上昇
21041	バトルクライ	50100	icon_skills.thunderingroar_tex	貫通の紋章	icon_crest.e_crestpassivethorns_tex	効果の適用率が10%上昇
21042	バトルクライ	50100	icon_skills.thunderingroar_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が100%追加上昇
21043	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
21044	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「跳躍斬り」使用時、スキル威力が35％増加
21045	ウィンドスラッシュ	170100	icon_skills.allroundslash_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	30%の確率でクールタイムが初期化
21046	回避	20100	icon_skills.tumbling_tex	連忍の紋章	icon_crest.e_crestnextskillhpheal_tex	連係して「ポイズンストライク」命中時、全HPの3％が即時に回復
21047	エバジョンアタック	100100	icon_skills.evasionattack_tex	テスト	icon_skills.voidtrap_tex	効果無し
21048	バイトスプリット	270100	icon_skills.heavybite_tex	迅速の紋章	icon_crest.e_crestactiveattackspeedup_tex	攻撃速度が30%上昇
21049	バイトスプリット	270100	icon_skills.heavybite_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
21050	ワイルドレイジ - スラスト	280100	icon_skills.dualrapidpiercing_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
21051	ワイルドレイジ - スラスト	280100	icon_skills.dualrapidpiercing_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが75減少
21052	ワイルドレイジ - ディセクト	290100	icon_skills.dualslash_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21053	ワイルドレイジ - ディセクト	290100	icon_skills.dualslash_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが80減少
21054	ワイルドレイジ - ディセクト	290100	icon_skills.dualslash_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	50%の確率でクールタイムが初期化
21064	ランブロー	40100	icon_skills.pointattack_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21065	エバジョンアタック	100100	icon_skills.evasionattack_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを30%短縮
21066	ランブロー	40100	icon_skills.pointattack_tex	忍耐の紋章	icon_crest.e_crestpassivehpheal_tex	打撃成功時、全HPの0.5%が即時に回復
21067	回避	20100	icon_skills.tumbling_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	消費STが100減少
21068	ディフェンススタンス	90100	icon_skills.ironwillb_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	耐久力がさらに10%上昇
21069	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	忍耐の紋章	icon_crest.e_crestpassivehpdown_tex	消費HPが50%減少
21070	連撃	10100	icon_skills.comboattack_tex	精神の紋章	icon_crest.e_crestpassivemprecoveryup_tex	命中時のMP回復量が35%増加
21071	シャドウツイン	240100	icon_skills.decoy_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
21072	コンバットストライク	180100	icon_skills.aggravatingstrike_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「跳躍斬り」使用時、スキル威力が45％増加
21073	ダッシュスラッシュ	160100	icon_skills.rushingslash_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「コンバットストライク」使用時、スキル威力が50％増加
21074	エバジョンアタック	100100	icon_skills.evasionattack_tex	保護の紋章	icon_crest.e_crestactivedefenceup_tex	耐久力が25上昇（8秒間持続）
21075	回り込み	220100	icon_skills.backattack_tex	堅忍の紋章	icon_crest.e_crestactiveattackspeedup_tex	ストックが1増加
21076	ストロングスラッシュ	210100	icon_skills.hardslash_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21077	ストロングスラッシュ	210100	icon_skills.hardslash_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が25%延長
21078	カウンターストライク	230100	icon_skills.reversalturningattack_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「ストロングスラッシュ」使用時、スキル威力が10％増加
21079	ゲイルレイザー	300100	icon_skills.raker_tex	必殺の紋章	icon_crest.e_crestpassivecriticalup_tex	クリティカル発生率が2倍上昇
21080	ゲイルレイザー	300100	icon_skills.raker_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	ストック発動時、スキル威力が25％増加
21081	回り込み	220100	icon_skills.backattack_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
21082	バイトスプリット	270100	icon_skills.heavybite_tex	迅速の紋章	icon_crest.e_crestactiveattackspeedup_tex	攻撃速度が30%上昇
21083	ポイズンストライク	110100	icon_skills.poisonblowattack_tex	決意の紋章	icon_crest.e_crestactiveattackspeedup_tex	ポイズンストライクの障害ステータスが最大2回重複可能
21084	ワイルドレイジ - ディセクト	290100	icon_skills.dualslash_tex	堅忍の紋章	icon_crest.e_crestactiveattackspeedup_tex	ストックが1増加
21085	シュレッド	310100	icon_skills.rupture_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21086	ソードディフェンス	320100	icon_skills.twinswordsdefence_tex	力の紋章	icon_crest.e_crestactiveattackup_tex	防御成功時、30%の確率で力が15％上昇（10秒間持続）
21087	シャドウチェンジ	330100	icon_skills.shadowchange_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が20%追加上昇
21088	ソードバインド	340100	icon_skills.bindingblade_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が20%増加
21089	ソードバインド	340100	icon_skills.bindingblade_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が20%増加
21090	ソードバインド	340100	icon_skills.bindingblade_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
21091	デッドリーウィル	200100	icon_skills.deadlywill_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が20%延長
21092	ソードバインド	340100	icon_skills.bindingblade_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
21093	レイジインダクション	350100	icon_skills.provokerage_tex	怠惰の紋章	icon_crest.e_crestpassivespeeddown_tex	移動速度を追加で50％減少（5秒間持続）
21094	レイジインダクション	350100	icon_skills.provokerage_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
21095	回避	20100	icon_skills.tumbling_tex	迅速の紋章	icon_crest.e_crestactiveattackspeedup_tex	40%の確率で攻撃速度が15％上昇（10秒間持続）
21096	トレントブロー	30100	icon_skills.nanmu_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が40%追加上昇
21097	ウィンドスラッシュ	170100	icon_skills.allroundslash_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
21098	ストロングスラッシュ	210100	icon_skills.hardslash_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「ランブロー」使用時、スキル威力が20％増加
21099	スピリットコンボ	190100	icon_skills.tenaciousattack_tex	減速の紋章	icon_crest.e_crestactiveattackspeeddown_tex	20%の確率で攻撃速度を15％減少（7秒間持続）
21100	回り込み	220100	icon_skills.backattack_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
21101	回避	20100	icon_skills.tumbling_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	消費STが120減少
21102	ディフェンススタンス	90100	icon_skills.ironwillb_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	耐久力上昇効果 10% 上昇
21103	ダッシュスラッシュ	160100	icon_skills.rushingslash_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「コンバットストライク」使用時、スキル威力が50％増加
21104	ゲイルレイザー	300100	icon_skills.raker_tex	必殺の紋章	icon_crest.e_crestpassivecriticalup_tex	クリティカル発生率が2倍上昇
21105	ゲイルレイザー	300100	icon_skills.raker_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	ストック発動時、スキル威力が30％増加
21106	デッドリーウィル	200100	icon_skills.deadlywill_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が20%延長
21107	ワイルドレイジ - スラスト	280100	icon_skills.dualrapidpiercing_tex	必殺の紋章	icon_crest.e_crestpassivecriticalup_tex	モンスター攻撃時、クリティカル発生率が2倍上昇
22000	スタンドファスト	20100	icon_skills.defence_tex	力の紋章	icon_crest.e_crestactiveattackup_tex	防御成功時、30%の確率で力が15％上昇（10秒間持続）
22001	スタンドファスト	20100	icon_skills.defence_tex	連闘の紋章	icon_crest.e_crestnextskillattackup_tex	連係して「シールドカウンター」使用時、スキル威力が25％増加
22002	スタンドファスト	20100	icon_skills.defence_tex	連精の紋章	icon_crest.e_crestnextskillmpdown_tex	連係して「シールドカウンター」使用時、消費MPが115減少
22003	連撃	10100	icon_skills.comboattack_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が5%追加上昇
22004	チャレンジシャウト	40100	icon_skills.roar_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が20%追加上昇
22005	チャレンジシャウト	40100	icon_skills.roar_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが60減少
22006	レイジインダクション	120100	icon_skills.provokerage_tex	怠惰の紋章	icon_crest.e_crestpassivespeeddown_tex	移動速度を追加で50％減少（5秒間持続）
22007	インテンスダッシュ	30100	icon_skills.screwthrough_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
22008	シールドカウンター	80100	icon_skills.riposte_tex	テスト	icon_skills.voidtrap_tex	効果無し
22009	シールドバッシュ	50100	icon_skills.shieldstrike_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が25%延長
22010	ガーディアンシャウト	70100	icon_skills.inspiringroar_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが200減少
22012	反撃	110100	icon_skills.risingattack_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
22013	シールドバレッジ	180100	icon_skills.shieldattack_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが19減少
22015	連撃	10100	icon_skills.comboattack_tex	精神の紋章	icon_crest.e_crestpassivemprecoveryup_tex	命中時のMP回復量が20%増加
22016	アーマーブレイク	100100	icon_skills.armorbreak_tex	精神の紋章	icon_crest.e_crestactivempzero_tex	35%の確率でMPを消費せずスキル発動
22017	リーシュ	90100	icon_skills.hookthrow_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22018	レイジインダクション	120100	icon_skills.provokerage_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22019	シールドバッシュ	50100	icon_skills.shieldstrike_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
22020	チャージングランジ	150100	icon_skills.advancingcharge_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
22021	リザレクションウィル	160100	icon_skills.rejuvenation_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
22022	バトルウィル	170100	icon_skills.fightingwill_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	攻撃速度が10%上昇
22023	スプリングアタック	130100	icon_skills.leaprampage_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが75減少
22024	反撃	110100	icon_skills.risingattack_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22025	メナスウェーブ	200100	icon_skills.menacewave_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが60減少
22026	アイアンウィル	220100	icon_skills.armoredwill_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
22027	チェインリーシュ	230100	icon_skills.chaincapture_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	30%の確率でクールタイムが初期化
22028	インパクトスラッグ	210100	icon_skills.shockblow_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が20%増加
22029	ガードプロミス	190100	icon_skills.vowofprotection_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22030	スプリングアタック	130100	icon_skills.leaprampage_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
22031	チャレンジシャウト	40100	icon_skills.roar_tex	テスト	icon_skills.voidtrap_tex	効果無し
22032	インテンスダッシュ	30100	icon_skills.screwthrough_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが100減少
22033	シールドカウンター	80100	icon_skills.riposte_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が100%追加上昇
22034	アーマーブレイク	100100	icon_skills.armorbreak_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が100%延長
22035	シールドバッシュ	50100	icon_skills.shieldstrike_tex	連迅の紋章	icon_crest.e_crestnextskillattackspeedup_tex	連係して「インテンスダッシュ」使用時、発動速度が25％上昇
22036	ガードプロミス	190100	icon_skills.vowofprotection_tex	救済の紋章	icon_crest.e_crestactivehprecoveryup_tex	使用者にHP回復効果を適用時、回復量が20％増加（20秒間持続）
22037	ガーディアンシャウト	70100	icon_skills.inspiringroar_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
22038	メナスウェーブ	200100	icon_skills.menacewave_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
22039	チャージングランジ	150100	icon_skills.advancingcharge_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22040	チャージングランジ	150100	icon_skills.advancingcharge_tex	活力の紋章	icon_crest.e_crestactivespeedup_tex	戦闘中の移動速度が10上昇（7秒間持続）
22041	アイアンウィル	220100	icon_skills.armoredwill_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	ダメージ無効化の最大値が25%増加
22042	インパクトスラッグ	210100	icon_skills.shockblow_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	対象の移動速度をさらに30%減少
22043	リーシュ	90100	icon_skills.hookthrow_tex	命中の紋章	icon_crest.e_crestpassiverangeup_tex	射程距離が3m増加
22044	リーシュ	90100	icon_skills.hookthrow_tex	怠惰の紋章	icon_crest.e_crestpassivespeeddown_tex	対象の移動速度を追加で50％減少（4秒間持続）
22045	シールドバッシュ	50100	icon_skills.shieldstrike_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が25%延長
22046	シールドバッシュ	50100	icon_skills.shieldstrike_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを25%短縮
22047	リーシュ	90100	icon_skills.hookthrow_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22048	連撃	10100	icon_skills.comboattack_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が5%追加上昇
22049	チャレンジシャウト	40100	icon_skills.roar_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが60減少
22050	インパクトスラッグ	210100	icon_skills.shockblow_tex	決意の紋章	icon_crest.e_crestpassiveskilleffectup_tex	対象の移動速度をさらに30%減少
22051	インテンスダッシュ	30100	icon_skills.screwthrough_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが150減少
22052	ガーディアンシャウト	70100	icon_skills.inspiringroar_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを35%短縮
22053	レイジインダクション	120100	icon_skills.provokerage_tex	怠惰の紋章	icon_crest.e_crestpassivespeeddown_tex	移動速度を追加で50％減少（5秒間持続）
22054	リーシュ	90100	icon_skills.hookthrow_tex	減速の紋章	icon_crest.e_crestpassivetargetspeeddown_tex	対象の攻撃速度を40％減少（4秒間持続）
22055	リーシュ	90100	icon_skills.hookthrow_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が30%追加上昇
22056	チャレンジシャウト	40100	icon_skills.roar_tex	迅速の紋章	icon_crest.e_crestpassiveskillspeedup_tex	発動速度が25%上昇
22057	チャレンジシャウト	40100	icon_skills.roar_tex	保護の紋章	icon_crest.e_crestactivedefenceup_tex	命中時、耐久力が21上昇（8秒間持続）
22058	インテンスダッシュ	30100	icon_skills.screwthrough_tex	必殺の紋章	icon_crest.e_crestpassivecriticalup_tex	クリティカル発生率が2倍上昇
22059	インパクトスラッグ	210100	icon_skills.shockblow_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が50%追加上昇
22060	チェインアンカー	240100	icon_skills.harpoonshot_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22061	チェインアンカー	240100	icon_skills.harpoonshot_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が50%延長
22062	連撃	10100	icon_skills.comboattack_tex	精神の紋章	icon_crest.e_crestpassivemprecoveryup_tex	命中時のMP回復量が20%増加
22063	シールドカウンター	80100	icon_skills.riposte_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が100%追加上昇
22064	シールドバレッジ	180100	icon_skills.shieldattack_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が200%追加上昇
22065	スプリングアタック	130100	icon_skills.leaprampage_tex	減速の紋章	icon_crest.e_crestactiveattackspeeddown_tex	30%の確率で攻撃速度を30％減少（7秒間持続）
22066	シールドクラッシュ	250100	icon_skills.overhelm_tex	闘志の紋章	icon_crest.e_crestpassiveattackup_tex	スキル威力が25%増加
22067	後方跳躍	260100	icon_skills.backstep_tex	集中の紋章	icon_crest.e_crestactivecooltimereset_tex	消費STが100減少
22068	チャレンジシャウト	40100	icon_skills.roar_tex	意志の紋章	icon_crest.e_creststrecover_tex	スタミナの回復量が30%増加
22069	シールドカウンター	80100	icon_skills.riposte_tex	意志の紋章	icon_crest.e_creststrecover_tex	スタミナの回復量が50%増加
22070	リザレクションウィル	160100	icon_skills.rejuvenation_tex	意志の紋章	icon_crest.e_creststrecover_tex	スタミナが20％追加で回復
22071	スタンドファスト	20100	icon_skills.defence_tex	意志の紋章	icon_crest.e_creststrecover_tex	スタミナの最大量が500増加
22072	戦線維持	270100	icon_skills.holdtheline_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
22073	戦線維持	270100	icon_skills.holdtheline_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が30%延長
22074	戦線維持	270100	icon_skills.holdtheline_tex	精神の紋章	icon_crest.e_crestpassivempdown_tex	消費MPが150減少
22075	戦線維持	270100	icon_skills.holdtheline_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が100%追加上昇
22076	戦線維持	270100	icon_skills.holdtheline_tex	野獣の紋章	icon_crest.e_crestpassiveaggroup_tex	敵対値が100%追加上昇
22077	戦線維持	270100	icon_skills.holdtheline_tex	時の紋章	icon_crest.e_crestpassivedurationup_tex	効果の持続時間が30%延長
22078	戦線維持	270100	icon_skills.holdtheline_tex	集中の紋章	icon_crest.e_crestpassivecooltimedown_tex	クールタイムを20%短縮
