21000	긴급 회피	20100	icon_skills.tumbling_tex	신속의 문장	icon_crest.e_crestactiveattackspeedup_tex	30% 확률로 10초 동안 공격 속도 15% 증가 효과 발생
21001	기상 공격	130100	icon_skills.risingattack_tex	집중의 문장	icon_crest.e_crestpassivecooltimedown_tex	재사용 시간 20% 감소
21002	회피 공격	100100	icon_skills.evasionattack_tex	집중의 문장	icon_crest.e_crestpassivecooltimedown_tex	재사용 시간 30% 감소
21003	발목 노리기	140100	icon_skills.aimingankle_tex	테스트	icon_skills.voidtrap_tex	효과 없음
21004	연속 공격	10100	icon_skills.comboattack_tex	야수의 문장	icon_crest.e_crestpassiveaggroup_tex	적대치 5% 추가 획득
21005	도발 난무	30100	icon_skills.nanmu_tex	야수의 문장	icon_crest.e_crestpassiveaggroup_tex	적대치 20% 추가 획득
21006	몰아치기	40100	icon_skills.pointattack_tex	투지의 문장	icon_crest.e_crestpassiveattackup_tex	스킬 위력 25% 증가
21007	내려찍기	120100	icon_skills.downblowattack_tex	투지의 문장	icon_crest.e_crestpassiveattackup_tex	스킬 위력 25% 증가
21008	맹독의 일격	110100	icon_skills.poisonblowattack_tex	결의의 문장	icon_crest.e_crestpassiveskilleffectup_tex	맹독 지속 피해 15% 향상
21009	강철의 결의	90100	icon_skills.ironwillb_tex	결의의 문장	icon_crest.e_crestpassiveskilleffectup_tex	맷집 증가 효과 10% 향상
21010	기상 공격	130100	icon_skills.risingattack_tex	투지의 문장	icon_crest.e_crestpassiveattackup_tex	스킬 위력 25% 증가
21011	도발 난무	30100	icon_skills.nanmu_tex	연계 정신의 문장 [몰아치기]	icon_crest.e_crestnextskillmpdown_tex	연계 스킬로 몰아치기 사용 시 소모 MP 88 감소
21012	기상 공격	130100	icon_skills.risingattack_tex	연계 정신의 문장 [내려찍기]	icon_crest.e_crestnextskillmpdown_tex	연계 스킬로 내려찍기 사용 시 소모 MP 75 감소
21013	연속 공격	10100	icon_skills.comboattack_tex	정신의 문장	icon_crest.e_crestpassivemprecoveryup_tex	적중 시 MP 회복량 35% 증가
21014	회피 공격	100100	icon_skills.evasionattack_tex	신속의 문장	icon_crest.e_crestactiveattackspeedup_tex	50% 확률로 10초 동안 공격 속도 15% 증가 효과 발생
21015	긴급 회피	20100	icon_skills.tumbling_tex	집중의 문장	icon_crest.e_crestactivecooltimereset_tex	소모 ST 100 감소
